Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
1796,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1797,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1798,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1799,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",OVERRIDE_RULE_ID,An associated rule ID if it is different from the one set in CDCONDITIONUSAGETP.,VARCHAR(10),,,Null,No,,,,,,,
1800,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",PASSWORD,The password used by the user to authenticate against the system.,VARCHAR(20),,,Null,No,,,,,,,
1801,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",EXPIRY_DT,The date that the user is no longer valid.,TIMESTAMP,,,Null,No,,,,,,,
1802,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,TERMCONDITION,"The TERMCONDITION table represents a logical condition, containing conditions for entities such as Product and Agreement. TermCondition can be static or executable. This table is used by the following domains. v Account Domain v Product Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1803,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",HOLDING_ID,"A unique, system-generated key that identifies a party holding in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1804,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",VIN_NUM,The unique 17-digit vehicle identification number.,VARCHAR(20),,,Null,No,,,,,,,
1805,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",VEHICLE_MAKE,The manufacturer name of the vehicle.,VARCHAR(20),,,Null,No,,,,,,,
1806,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",VEHICLE_MODEL,The vehicle model as identified by the manufacturer.,VARCHAR(20),,,Null,No,,,,,,,
1807,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",VEHICLE_YEAR,The year the vehicle was built.,BIGINT,,,Null,No,,,,,,,
1808,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1809,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1810,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,VEHICLE,"The VEHICLE table contains all HOLDING records that are vehicles. For example, Mazda M3, Subaru Outback, or Honda Civic. This table is used by the following domains. v Account Domain v Party Domain",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1811,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECBKTD,"eme_recbktd stores the derived data information for a record that is used for first-pass determination of records for comparison. All records having the same bucket hash (bkthash) belong in the same bucket, and compare to each other. A record can belong This table is used by the following domain. v Party Domain",RECNO,Unique record number from eme_rechead.,BIGINT,,,Not Null,Yes,,,,,,,
1812,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECBKTD,"eme_recbktd stores the derived data information for a record that is used for first-pass determination of records for comparison. All records having the same bucket hash (bkthash) belong in the same bucket, and compare to each other. A record can belong This table is used by the following domain. v Party Domain",SRCRECNO,"Source record, from the Embedded Matching Engine configuration.",SMALLINT,,,Not Null,Yes,,,,,,,
1813,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECBKTD,"eme_recbktd stores the derived data information for a record that is used for first-pass determination of records for comparison. All records having the same bucket hash (bkthash) belong in the same bucket, and compare to each other. A record can belong This table is used by the following domain. v Party Domain",BKTHASH,Hash value of the derived data.,BIGINT,,,Not Null,Yes,,,,,,,
1814,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCHKD,This table is used by the following domain. v Party Domain,RECNO,,BIGINT,,,Not Null,Yes,,,,,,,
1815,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCHKD,This table is used by the following domain. v Party Domain,SRCRECNO,,SMALLINT,,,Not Null,No,,,,,,,
1816,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCHKD,This table is used by the following domain. v Party Domain,CHKSUM,,BIGINT,,,Not Null,No,,,,,,,
1817,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCMPD,"This derived data table stores the comparison data information for a record that is used for scoring records that met the bucketing pass. The purpose of storing information in eme_reccmpd, rather than spreading the information among the various record data tables, is to provide a performance enhancement. This table is used by the following domain. v Party Domain",RECNO,Unique record number from eme_rechead.,BIGINT,,,Not Null,Yes,,,,,,,
1818,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCMPD,"This derived data table stores the comparison data information for a record that is used for scoring records that met the bucketing pass. The purpose of storing information in eme_reccmpd, rather than spreading the information among the various record data tables, is to provide a performance enhancement. This table is used by the following domain. v Party Domain",SRCRECNO,"Source record, from the Embedded Matching Engine configuration.",SMALLINT,,,Not Null,No,,,,,,,
1819,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCMPD,"This derived data table stores the comparison data information for a record that is used for scoring records that met the bucketing pass. The purpose of storing information in eme_reccmpd, rather than spreading the information among the various record data tables, is to provide a performance enhancement. This table is used by the following domain. v Party Domain",CMPSEQNO,Comparison sequence number.,SMALLINT,,,Not Null,Yes,,,,,,,
1820,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECCMPD,"This derived data table stores the comparison data information for a record that is used for scoring records that met the bucketing pass. The purpose of storing information in eme_reccmpd, rather than spreading the information among the various record data tables, is to provide a performance enhancement. This table is used by the following domain. v Party Domain",CMPVAL,"The comparison data. The comparison data itself is a derived copy of the source record from which it was obtains, altered to provide high-speed comparisons.",VARCHAR(1020),,,Not Null,No,,,,,,,
1821,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECHEAD,The eme_rechead table is used to store one row for each record presented to the Embedded Matching Engine. This table is used by the following domain. v Party Domain,RECNO,Automatically assigned internal identification number.,BIGINT,,,Not Null,No,,,,,,,
1822,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECHEAD,The eme_rechead table is used to store one row for each record presented to the Embedded Matching Engine. This table is used by the following domain. v Party Domain,SRCRECNO,Source system identification in the Embedded Matching Engine configuration.,SMALLINT,,,Not Null,Yes,,,,,,,
1823,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECHEAD,The eme_rechead table is used to store one row for each record presented to the Embedded Matching Engine. This table is used by the following domain. v Party Domain,SRCID,Source system primary identifier for the record.,VARCHAR(240),,,Not Null,Yes,,,,,,,
1824,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,EME_RECHEAD,The eme_rechead table is used to store one row for each record presented to the Embedded Matching Engine. This table is used by the following domain. v Party Domain,TXNID,"User specified transaction identifier, not managed by the Embedded Matching Engine.",BIGINT,,,Not Null,No,,,,,,,
1825,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,PRODUCT_ID,"A unique, system-generated key that identifies a product in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1826,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,TAX_POSITION_TP_CD,"The relative tax position offered by the product. Determines whether the product is tax neutral, provides the customer a tax advantage, or provides the FI with a tax advantage.",BIGINT,,,Null,No,,,,,,,
1827,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,ACCOUNT_REQUIRED_TP_CD,Indicates whether the product requires an account or not.,BIGINT,,,Null,No,,,,,,,
1828,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,CURRENCY_TP_CD,Identifies the currency the product is traded in.,BIGINT,,,Null,No,,,,,,,
1829,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1830,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1831,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,FINANCIALPRODUCT,The FINANCIALPRODUCT table contains information about products that are a hardened subtype of PRODUCT. This table is used by the following domain. v Product Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1832,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,GOODSPRODUCT,The GOODSPRODUCT table contains information on a product that is a hardened subtype of product. This table is used by the following domain. v Product Domain,PRODUCT_ID,"A unique, system-generated key that identifies a product in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1833,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,GOODSPRODUCT,The GOODSPRODUCT table contains information on a product that is a hardened subtype of product. This table is used by the following domain. v Product Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1834,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,GOODSPRODUCT,The GOODSPRODUCT table contains information on a product that is a hardened subtype of product. This table is used by the following domain. v Product Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1835,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,GOODSPRODUCT,The GOODSPRODUCT table contains information on a product that is a hardened subtype of product. This table is used by the following domain. v Product Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1836,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,ACC_DATE_VAL_ID,"A unique, system-generated key that identifies a default object in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1837,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,INSTANCE_PK,The actual primary key of the row in the logical entity.,BIGINT,,,Not Null,No,,,,,,,
1838,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,ENTITY_NAME,The name of the business entity.,VARCHAR(20),,,Not Null,No,,,,,,,
1839,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,COL_NAME,The actual name of the column where the default occurred.,VARCHAR(20),,,Null,No,,,,,,,
1840,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,DESCRIPTION,A description of the record,VARCHAR(1000),,,Null,No,,,,,,,
1841,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,LAST_USED_DT,The date that this data was last used. There is no business logic associated with this field.,TIMESTAMP,,,Null,No,,,,,,,
1842,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,LAST_VERIFIED_DT,The date that this data was last verified. There is no business logic associated with this field.,TIMESTAMP,,,Null,No,,,,,,,
1843,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1844,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1845,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,ACCESSDATEVAL,The ACCESSDATEVAL table captures the last used date and last verified date around various entities and attributes. This table is used by the following domain. v Party Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1846,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,CAT_HIERARCHY_NLS_ID,"A unique, system-generated key that identifies a category hierarchy NLS in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1847,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,CAT_HIERARCHY_ID,The primary key of the NLS category hierarchy record.,BIGINT,,,Not Null,No,,,,,,,
1848,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,LANG_TP_CD,Language type code.,BIGINT,,,Not Null,No,,,,,,,
1849,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,NAME,Localized description for the category hierarchy name. ,VARCHAR(120),,,Not Null,No,,,,,,,
1850,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,DESCRIPTION,Localized description for the category hierarchy description.,VARCHAR(255),,,Null,No,,,,,,,
1851,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1852,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1853,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATHIERARCHYNLS,The CATHIERARCHYNLS table contains the language sensitive fields for the CATHIERARCHY table. This table is used by the following domain. v Product Domain ,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1854,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,CAT_NODE_REL_ID,"A unique, system-generated key that identifies a category node relationship in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1855,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,PARENT_NODE_ID,The primary key (category_id_ of the parent hierarchy node record.,BIGINT,,,Not Null,No,,,,,,,
1856,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,CHILD_NODE_ID,The primary key (category_id) of the child hierarchy node record. ,BIGINT,,,Not Null,No,,,,,,,
1857,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
1858,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
1859,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1860,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1861,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CATNODEREL,The CATNODEREL table contains the definition of relationships between category nodes in a category hierarchy. This table is used by the following domain. v Product Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1862,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,DEMOGRAPHICS_ID,"A unique, system-generated key that identifies a party demographics record in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1863,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,CONT_ID,The ID of the party to whom the demographics record belongs. ,BIGINT,,,Not Null,No,,,,,,,
1864,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,DEMOGRAPHICS_TP_CD,Type of the demographics information defined in code table CDDEMOGRAPHICSTP.,BIGINT,,,Not Null,No,,,,,,,
1865,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,SPEC_FMT_ID,The ID of the spec format.,BIGINT,,,Not Null,No,,,,,,,
1866,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,VALUE,The demographics XML.,XML,,,Not Null,No,,,,,,,
1867,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,START_DT,The date when this record becomes active.,TIMESTAMP,,,Not Null,No,,,,,,,
1868,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,END_DT,The date when this record becomes inactive.,TIMESTAMP,,,Null,No,,,,,,,
1869,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1870,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
1871,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTDEMOGRAPHICS,The CONTACTDEMOGRAPHICS table contains various demographic data for the contact. This table is used by the following domain. v Party Domain,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
1872,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",CONTACT_METHOD_ID,"A unique, system-generated key that identifies a contact method in the system.",BIGINT,,,Not Null,Yes,,,,,,,
1873,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",ADDRESS_ID,"A unique, system-generated key that identifies an address in the system. There is no implementation for this attribute in the object model. You have the option to create your own implementation.",BIGINT,,,Null,No,,,,,,,
1874,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",CONT_METH_CAT_CD,"Identifies the main category of contact method. For example: telephone, e-mail, PDA, and so forth.",BIGINT,,,Not Null,No,,,,,,,
1875,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",REF_NUM,"The actual text provided for the contact method. For example, if the contact method category type is telephone, then this column contains the actual 10 digits for the phone number.",VARCHAR(255),,,Not Null,No,,,,,,,
1876,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
1877,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,CONTACTMETHOD,"The CONTACTMETHOD table stores the ways that a CONTACT can be reached. For example, this can include e-mail address, phone number, fax number, web sites, or others. 
This table is used by the following domain. v Party Domain",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
